dest_iso3,gdp_pc,aid_per_refugee,unemployment
AUT,22569.4,,
BEL,22230.25,,
BGR,5666.75,,
CHE,40040.1,,
CYP,14936.15,,
CZE,10955.55,,
DEU,21554.6,,
DNK,29081.5,,
ESP,13901.2,,
EST,10529.65,,
FIN,21639.8,,
FRA,19055.45,,
GRC,,,
HRV,8531.75,,
HUN,8095.45,,
IRL,44300.45,,
ISL,29763.6,,
ITA,16445.35,,
LTU,9846.2,,
LUX,50499.4,,
LVA,8455.4,,
MLT,17326.95,,
NLD,25440.2,,
NOR,31750.55,,
POL,8236.65,,
PRT,11175.5,,
ROU,6550.5,,
SVK,9555.95,,
SVN,12740.7,,
SWE,24105.25,,
